gene_id	logFC	logCPM	LR	PValue	FDR	FC	entrez_id
Clec4a2	-3.831082914	4.51094973	169.8935858	7.81e-39	1.09e-34	-14.23216182	26888
S100a6	-3.630660442	6.626328602	165.9452889	5.69e-38	3.98e-34	-12.38618884	20200
F630028O10Rik	-3.994117594	5.34020051	152.8876075	4.05e-35	1.89e-31	-15.93489485	100038363
Ccr2	-4.757774483	6.698515292	150.6147758	1.27e-34	4.45e-31	-27.05408387	12772
Ms4a6d	-3.810531559	7.13496373	147.9809926	4.79e-34	1.34e-30	-14.03086024	68774
Crip1	-3.197455638	6.565044351	145.1095994	2.03e-33	4.74e-30	-9.173394207	12925
S100a4	-3.645743295	5.178491562	141.1740515	1.47e-32	2.95e-29	-12.51636122	20198
Lilrb4a	-3.626945269	7.137690961	139.8228413	2.91e-32	5.09e-29	-12.35433344	14728
Lilr4b	-3.410717173	6.010219818	133.1909048	8.21e-31	1.28e-27	-10.63477181	14727
Tlr13	-2.924226426	6.244387426	126.010064	3.06e-29	4.28e-26	-7.590665756	279572
Ccr5	-3.612378103	5.709816542	118.292049	1.5e-27	1.9e-24	-12.23021705	12774
Fcgr1	-4.092774916	5.869478114	117.6930859	2.02e-27	2.36e-24	-17.06271023	14129
Ccl9	-5.285336303	6.889026987	116.7927602	3.19e-27	3.43e-24	-38.99821816	20308
Timp1	-4.637209395	6.577949059	116.0079506	4.73e-27	4.73e-24	-24.88508474	21857
Anxa1	-3.142854815	7.696669846	114.4797596	1.02e-26	9.54e-24	-8.832701857	16952
Msr1	-3.193293668	7.610919409	113.5160489	1.66e-26	1.45e-23	-9.146968409	20288
Anxa3	-2.825265937	5.23518512	112.3208423	3.04e-26	2.5e-23	-7.087446488	11745
Ms4a6c	-2.976289702	6.491721526	111.6894935	4.18e-26	3.25e-23	-7.869596698	73656
S100a11	-3.476119511	5.362309111	111.3322487	5e-26	3.69e-23	-11.12797756	20195
Lgals1	-2.67968475	7.880164106	109.5819034	1.21e-25	8.47e-23	-6.407158811	16852
Pirb	-3.989634126	5.16695391	109.4705406	1.28e-25	8.53e-23	-15.8854508	18733
S100a10	-3.484333057	6.10520985	108.9939246	1.63e-25	1.04e-22	-11.19151201	20194
Prrx1	-3.613099609	5.532425018	108.8063361	1.79e-25	1.09e-22	-12.23633503	18933
4632428N05Rik	-2.997641717	5.782217603	108.2445896	2.38e-25	1.39e-22	-7.986933584	NA
Pid1	-4.015762917	4.37119497	107.5294642	3.41e-25	1.91e-22	-16.17577485	98496
Tgfbi	-3.606384546	7.428817166	106.0450609	7.21e-25	3.88e-22	-12.17951302	21810
Fcgr2b	-3.299589694	5.442695489	103.9781608	2.05e-24	1.06e-21	-9.84635458	14130
Col6a1	-3.038975403	7.686440887	103.5593626	2.53e-24	1.26e-21	-8.219071385	12833
Loxl1	-3.786997551	5.936329966	101.6853768	6.51e-24	3.14e-21	-13.80383808	16949
Ms4a7	-3.218875405	6.343785501	101.5475008	6.98e-24	3.25e-21	-9.310608149	109225
