gene_id	transcript_id(s)	Sample_1	Sample_2	Sample_3	Sample_4	Sample_5	Sample_6	Sample_7	Sample_8	Sample_9	Sample_10	Sample_11	Sample_12
0610005C13Rik	NR_038165,NR_038166	0.17	1.26	0	0	0.49	0.11	0	0.38	1.04	0	0	0
0610007P14Rik	NM_021446	27.28	30.72	29.33	25.42	27.83	24.01	21.02	24.98	20.79	19.82	22.64	20.83
0610009B22Rik	NM_025319	44.98	52.97	51.48	49.7	50.6	46.58	35.64	47.79	39.34	33.69	45.22	36.37
0610009L18Rik	NR_038126	1.75	2.22	3.45	4.42	6.21	5.52	3	2.97	5.72	4.53	3.64	2.27
0610009O20Rik	NM_024179	37.89	33.72	34.31	31.39	30.03	27.63	30.46	34.73	31.09	21.48	26.24	23.41
0610010B08Rik	NM_001177543,NM_001177543_1,NM_001177543_2,NM_001177543_3,NM_001177543_4,NM_001177543_5	16.67	14.32	11.53	9.52	10.99	9.56	10.48	11.46	10.78	8.02	10.41	8.55
0610010F05Rik	NM_027860	74.11	65.15	75.42	60.01	66.65	48.05	36.39	65.04	38.12	28.17	26.83	31.81
0610010K14Rik	NM_001177601,NM_001177603,NM_001177606,NM_001177607,NM_026757,NM_145758	40.5	49.64	49.86	51.64	45.53	44.94	39.18	50.15	37.13	30.17	34.79	28.64
0610011F06Rik	NM_026686	46.82	64.14	51.08	64.72	57.5	55.06	49.09	57.64	47.88	39.57	54.53	48.55
0610012G03Rik	NR_027897	24.95	28.08	27.58	27.68	26.13	24.63	24.11	20.98	37.18	31.69	37.14	30.18
0610030E20Rik	NM_026696	11.66	8.22	7.98	7.74	7.7	10.03	9.79	8.86	7.42	11.39	8.94	9.07
0610031O16Rik	NR_045760	0	0	0	0	0.14	0	0	0.14	0.22	0	0	0.26
0610037L13Rik	NM_028754	25.34	26.89	28.35	26.87	30.04	29.13	23.49	28.52	24.68	26.73	29.14	27.94
0610038B21Rik	NR_028125	0.74	1.57	1.54	1.72	1.92	1.99	3.04	1.37	1.59	3.08	1.2	3.47
0610039H22Rik	NR_131025	0.28	0.36	0.2	0.48	0.5	0.58	0.54	0.16	0	0	0.24	0.61
0610039K10Rik	NR_028113	0	0.13	0.14	0	0.12	0	0.39	0.12	0.36	0.16	0	0.22
0610040B10Rik	NR_027874	4.07	4.41	5.67	9.96	9.92	11.03	5.48	8.77	11.19	7.1	8.04	5.59
0610040F04Rik	NR_040757,NR_104577	0	0	0	0.06	0	0	0.25	0	0.09	0.21	0.09	0.56
0610040J01Rik	NM_029554	0.65	0.89	0.46	0.48	0.88	1.03	2.14	0.27	2.66	2.9	3.22	3.04
0610043K17Rik	NR_040640	0.35	0.22	0.74	0.6	1.04	2.16	0.33	0.2	0.32	1.13	1.22	1.52
1010001N08Rik	NR_105022,NR_105023	0	0	0	0.18	0	0	1.07	0.18	1.37	2.17	4.63	1.7
1110001J03Rik	NM_025363	66.56	84.55	77.88	99.22	101.94	84.02	54.04	73.83	89.69	59.4	71.1	51.39
1110002L01Rik	NR_030694	15.06	14.54	12.28	10.5	11.98	11.76	8.15	11.91	4.54	4.22	5.42	5.67
1110004E09Rik	NM_026502	31.87	36.85	35.61	32.93	28.17	28.37	23	29.61	26.39	15.8	19.28	17.3
1110004F10Rik	NM_019772	200.16	198.8	210.35	194.49	194.78	161.54	121.08	198.8	123.42	113.93	122.83	132.53
1110006O24Rik	NR_027810	0	1.34	0.56	0.91	1.25	0.72	4.28	0.9	1.19	1.7	1.83	2.86
1110007C09Rik	NM_026738	2.74	4.73	4.04	7.29	8.83	12.29	23.98	3.67	46.84	38.61	33.6	49.35
1110008F13Rik	NM_026124	88.46	107.9	94.64	90.39	100.86	94.72	85.17	90.72	106.25	122.7	160.22	113.77
1110008L16Rik	NM_025373	16.57	13.39	13.3	11.52	11.73	11.17	13.5	14.99	12.16	10.42	10.6	11.15
1110008P14Rik	NM_198001	28.82	39.77	42.13	42.3	47.98	53.14	75.74	32.92	69.93	108.25	143.63	77.95
1110012L19Rik	NM_026787	20.33	22.14	22.18	22.21	24.77	23.76	23.68	21.26	23.97	24.27	28.21	24.38
1110015O18Rik	NR_045272	0	0	0	0.07	0	0	0	0	0.1	0	0	0
1110017D15Rik	NM_001048005,NM_001253777,NM_001253778,NM_001253780,NM_001253788,NM_028624,NR_045549,NR_045551	1.04	0.94	0.94	2.32	0.86	1.15	0.91	1.38	1.58	0.18	0.25	1.99
1110019D14Rik	NR_045995	1.79	1.13	1.6	2.05	1.34	1.56	4.57	1.56	4.05	4.09	5.57	3.5
1110020A21Rik	NR_027929,NR_027930	2.78	2.05	3.26	4.88	3.93	3.97	1.99	2.72	2.91	2.04	1.4	1.5
1110025L11Rik	NM_001276278	0	0	0	0	0	0	0	0	0	0	0	0
1110028F11Rik	NR_045139	0.06	0.04	0.09	0.04	0.04	0.09	0.12	0.04	0	0.05	0.05	0.14
1110028F18Rik	NR_045470	0	0	0	0	0	0	0	0	0	0	0	0
1110032A03Rik	NM_023483	7.37	7.6	7.52	11.57	10.81	12.05	8.28	7.56	9.91	14.11	19.37	8.77
1110032F04Rik	NM_001167996	6.72	8.22	9.16	8.21	6.82	7.22	4.61	7.81	2.93	2.78	3.41	4.02
1110034G24Rik	NM_028637	8.03	9.57	9.65	9.3	8.49	7.04	8.5	8.03	7.83	6.22	7.57	5.43
1110036E04Rik	NR_040713	0	0	0	0	0	0	0	0	0	0	0	0
1110037F02Rik	NM_001081183	37.47	32.9	35.78	31.75	32.18	30.68	30.23	35.23	27.93	31.16	32.38	30.37
1110038B12Rik	NR_015536,NR_027943	108.42	109.16	117.56	104.87	98.33	90.42	81.89	124.4	73.16	59.99	56	67.16
